M2_arch,Training,Autoencoder,Hyperpar,Time,WMAPE,Baseline
M2_CNN,synthetic,AE_C2,cH2,114.5,0.4343,
M2_CNN,synthetic+real,AE_S4,cH3,37.7,0.5642,0.7778
M2_CNN,synthetic+real,AE_C3,cH3,42.4,0.6202,0.7778
