Autoencoder,LD,Hyperpar,Time,LOSS,VAL_LOSS,WMAPE,WMAPE_REAL
AE_C1,768,"f1=128,f2=64",0.0,0.000000,0.000000,0.3569,1.2258
AE_C2,3072,"f1=64,f2=32",250.2,0.000876,0.000765,0.3142,1.3184
